term,coefficient
Intercept,-47579.76968987916
temp,258.20539853932644
precip,-166.86914545164706
windspeed,-63.58048698402968
solarradiation,37.01661577128824
sealevelpressure,59.76736894367849
bikes_hired_lag1,0.4600844108824722
day_Mon,0.0
day_Tue,675.243092114511
day_Wed,-264.81018843551647
day_Thu,-375.7628940918178
day_Fri,-2006.5917379281507
day_Sat,-3442.262952157723
day_Sun,-4659.833938380319
season_Autumn,0.0
season_Spring,-3060.5723825002456
season_Summer,-2144.797111912273
season_Winter,-1879.0300886840557
residual_se,4925.469475646605
